lambda	lc_Re	lc_Im
-550.052372274857	-7.364684158829217e-05	0.000535055014775781
-549.3682275332216	8.893188639575079e-05	0.00042698692697658807
-548.6840827915861	0.00014640013455726307	0.0002401200634103612
-547.9999380499506	7.239130502423503e-05	5.862621682040624e-05
-547.3157933083152	-0.0001002764581944665	-3.546446476870461e-05
-546.6316485666797	-0.0002941982576186471	7.486423699685921e-07
-545.9475038250442	-0.000422129476393454	0.00015156573818667372
-545.2633590834088	-0.0004262846282077617	0.00034956879841583635
-544.5792143417733	-0.00030448676727231813	0.0005058422448604188
-543.8950696001378	-0.00011133498592028629	0.0005499861711242883
-543.2109248585024	6.6219918156078e-05	0.00046191632023230957
-542.5267801168669	0.00014796646328510066	0.0002810873550224874
-541.8426353752315	9.661649641676558e-05	8.890567967406783e-05
-541.158490633596	-6.523996817551889e-05	-2.7829622567608517e-05
-540.4743458919605	-0.00026511731240017695	-1.6040024600274985e-05
-539.7902011503251	-0.0004131446486173284	0.00011958945413968712
-539.1060564086896	-0.00044252354755508125	0.00031852738819756457
-538.4219116670541	-0.0003397207725274534	0.0004914965652266215
-537.7377669254187	-0.00015074976023774146	0.0005606256374377092
-537.0536221837832	3.9371914812299114e-05	0.0004945946709070417
-536.3694774421477	0.00014481891545230002	0.0003229131603455172
-535.6853327005123	0.00011764836563096036	0.00012282281656991688
-535.0011879588768	-3.0456964784343176e-05	-1.536330938679782e-05
-534.3170432172413	-0.00023325257901885243	-2.893265547057193e-05
-533.6328984756059	-0.0003996116245615922	8.885959619432562e-05
-532.9487537339704	-0.00045452334391395425	0.00028555858134529086
-532.264608992335	-0.00037296592914830783	0.0004729560174395073
-531.5804642506995	-0.00019135848973581094	0.0005667355863575891
-530.896319509064	8.647535373543594e-06	0.0005244994954297141
-530.2121747674286	0.00013682497755675873	0.0003650270497287246
-529.5280300257931	0.00013501970527332358	0.00016001840507943823
-528.8438852841576	3.47940693090664e-06	1.951142037143422e-06
-528.1597405425222	-0.00019905683952782253	-3.7541140055989686e-05
-527.4755958008867	-0.00038163900250167825	5.996358282750816e-05
-526.7914510592512	-0.00046199931220055663	0.0002511864278852247
-526.1073063176158	-0.00040367250388987	0.00045044634270360867
-525.4231615759803	-0.0002325947704062412	0.0005681424011002782
-524.7390168343449	-2.5626869767270577e-05	0.0005511367294629722
